,price
1981,0.768486791208791
1982,0.8338582450592893
1983,1.6781128853754936
1984,1.2597426679841885
1985,0.9218906428571426
1986,1.0797771897233197
1987,1.1361939446640321
1988,1.3149550276679836
1989,2.918790436507941
1990,5.564893335968386
1991,4.562283992094865
1992,3.481945251968511
1993,6.4470110079051395
1994,7.900177607142858
1995,11.80680540476191
1996,14.56073925590553
1997,24.204429826086997
1998,30.417906825396823
1999,41.36315724603175
2000,92.55130828174603
2001,31.064730334677417
2002,10.736111115079368
2003,5.997876984126985
2004,14.156884928571419
2005,16.145535611111107
2006,17.541035808764928
2007,17.939282828685265
2008,10.069466403162057
2009,9.260158730158732
2010,10.646428571428574
2011,11.99289682539682
2012,9.331799999999998
2013,12.154841269841278
2014,12.347539682539683
2015,10.967658730158732
2016,7.534087301587299
2017,6.341434262948213
2018,7.73940239043825
2019,9.022460317460316
2020,8.178709677419356
